"","RecommendData$BrandModel","Price 0-5000","Price 5000-10000","Price 10000-15000","Price 15000-20000","Price 20000-25000","Price 25000-30000","Price 30000-35000","Price 35000+","25 - 50 bph","50 - 75 bph","75 - 100 bph","100 - 125 bph","125 - 150 bph","150 - 175 bph","175 - 200 bph","CarTypeConvertible","CarTypeCoupe","CarTypeEstate","CarTypeHatchback","CarTypeMPV","CarTypeOthers","CarTypeSaloon","CarTypeSUV","TransmissionAutomatic","TransmissionManual","FuelTypeDiesel","FuelTypeElectric.Hybird","FuelTypePetrol","DrivetrainFour.Wheel.Drive","DrivetrainFront.Wheel.Drive","DrivetrainRear.Wheel.Drive"
"86","BMW 2","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0"
"87","BMW X1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0"
"88","BMW X1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0"
"89","BMW X3","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0"
"90","BMW 4","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","1","0","0"
"91","BMW 4","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"92","BMW 3","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","1"
"93","BMW 4","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"94","BMW 4","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0"
"95","BMW 4","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"96","BMW 3","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","0","0"
"97","BMW X3","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0"
"98","BMW X1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0"
"99","BMW X1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0"
"100","BMW X1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0"
"101","BMW 5","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","1"
"102","BMW X1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0"
"103","BMW X1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0"
"104","BMW X3","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0"
"105","BMW 2","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
